& 0.70& 1.06& 1.96& \textbf{0.50}& \textbf{0.69}& \textbf{1.24}\\
knife& 0.23& 0.36& 0.62& \textbf{0.13}& \textbf{0.23}& \textbf{0.42}\\
lamp& 0.88& 1.70& 3.88& \textbf{0.41}& \textbf{0.94}& \textbf{2.31}\\
laptop& 0.39& 0.49& 0.86& \textbf{0.33}& \textbf{0.34}& \textbf{0.44}\\
loudspeaker& 0.90& 1.34& 2.32& \textbf{0.69}& \textbf{0.93}& \textbf{1.60}\\
mailbox& 0.49& 0.91& 2.45& \textbf{0.28}& \textbf{0.52}& \textbf{1.62}\\
microphone& 1.52& 2.66& 5.51& \textbf{0.45}& \textbf{1.24}& \textbf{2.95}\\
microwaves& 0.72& 0.96& 1.68& \textbf{0.68}& \textbf{0.77}& \textbf{1.28}\\
motorbike& 0.96& 1.20& 1.70& \textbf{0.64}& \textbf{0.89}& \textbf{1.33}\\
mug& 0.98& 1.41& 2.73& \textbf{0.83}& \textbf{1.01}& \textbf{1.72}\\
piano& 0.95& 1.34& 2.69& \textbf{0.61}& \textbf{0.72}& \textbf{1.33}\\
pillow& 0.64& 0.94& 1.73& \textbf{0.44}& \textbf{0.53}& \textbf{0.89}\\
pistol& 0.57& 0.78& 1.23& \textbf{0.36}& \textbf{0.51}& \textbf{0.81}\\
printer& 0.83& 1.63& 2.79& \textbf{0.62}& \textbf{0.93}& \textbf{1.83}\\
remote& 0.39& 0.56& 0.77& \textbf{0.29}& \textbf{0.40}& \textbf{0.48}\\
rifle& 0.36& 0.50& 0.77& \textbf{0.25}& \textbf{0.36}& \textbf{0.58}\\
rocket& 0.29& 0.58& 0.96& \textbf{0.18}& \textbf{0.34}& \textbf{0.77}\\
skateboard& 0.38& 0.53& 0.74& \textbf{0.22}& \textbf{0.29}& \textbf{0.40}\\
sofa& 0.65& 0.85& 1.39& \textbf{0.52}& \textbf{0.58}& \textbf{0.84}\\
stove& 0.75& 1.07& 1.91& \textbf{0.62}& \textbf{0.80}& \textbf{1.28}\\
table& 0.57& 0.82& 1.55& \textbf{0.41}& \textbf{0.51}& \textbf{0.93}\\
telephone& 0.38& 0.50& 0.71& \textbf{0.33}& \textbf{0.36}& \textbf{0.46}\\
tower& 0.68& 1.08& 2.00& \textbf{0.46}& \textbf{0.76}& \textbf{1.37}\\
train& 0.64& 0.81& 1.14& \textbf{0.44}& \textbf{0.59}& \textbf{0.90}\\
trash bin& 0.94& 1.32& 2.51& \textbf{0.75}& \textbf{0.98}& \textbf{1.61}\\
washer& 0.74& 1.12& 2.42& \textbf{0.69}& \textbf{0.86}& \textbf{1.61}\\
watercraft& 0.51& 0.72& 1.13& \textbf{0.34}& \textbf{0.50}& \textbf{0.78}\\
